Jornada,Partido,Equipo,Resultado,Goles,Tiros a Puerta,Tiros Fuera,Tiros Totales,Tiros Bloqueados,Tiros Dentro Area,Tiros Fuera Area,Faltas,Córners,Fueras de Juego,Posesión,Tarjetas Amarillas,Tarjetas Rojas,Paradas,Pases Totales,Pases Completados,Precisión de Pases,xG,Goles Evitados
19,Atletico Madrid-Osasuna,Atletico Madrid,1-0,1,5,3,9,1,9,0,8,4,1,51.0,2,0,1,555,472,85.0,2.54,1
19,Atletico Madrid-Osasuna,Osasuna,1-0,0,1,4,6,1,3,3,14,0,2,49.0,0,0,4,533,455,85.0,0.28,1
20,Leganes-Atletico Madrid,Atletico Madrid,1-0,0,4,11,19,4,12,7,6,9,2,68.0,3,0,2,626,552,88.0,2.42,0
20,Leganes-Atletico Madrid,Leganes,1-0,1,3,4,9,2,5,4,16,2,2,32.0,1,0,3,304,240,79.0,0.41,0
21,Atletico Madrid-Villarreal,Villarreal,1-1,1,1,8,11,2,11,0,14,6,0,41.0,2,0,7,399,325,81.0,2.23,0
21,Atletico Madrid-Villarreal,Atletico Madrid,1-1,1,8,8,20,4,11,9,10,5,0,59.0,4,0,0,587,512,87.0,1.71,0
22,Atletico Madrid-Mallorca,Mallorca,2-0,0,1,2,10,7,5,5,14,4,0,47.0,3,0,3,415,348,84.0,0.48,0
22,Atletico Madrid-Mallorca,Atletico Madrid,2-0,2,5,8,17,4,7,10,9,10,2,53.0,2,0,1,461,395,86.0,1.29,0
23,Real Madrid-Atletico Madrid,Atletico Madrid,1-1,1,1,7,10,2,6,4,13,1,1,40.0,3,0,8,440,380,86.0,1.54,0
23,Real Madrid-Atletico Madrid,Real Madrid,1-1,1,9,7,23,7,11,12,14,6,2,60.0,1,0,0,664,617,93.0,1.69,0
24,Atletico Madrid-Celta Vigo,Celta Vigo,1-1,1,4,5,11,2,6,5,18,7,1,67.0,5,0,2,643,582,91.0,1.75,0
24,Atletico Madrid-Celta Vigo,Atletico Madrid,1-1,1,3,2,9,4,8,1,8,2,1,33.0,3,1,3,314,247,79.0,0.55,0
25,Valencia-Atletico Madrid,Atletico Madrid,0-3,3,3,4,11,4,8,3,16,0,2,51.0,3,0,2,578,507,88.0,1.28,0
25,Valencia-Atletico Madrid,Valencia,0-3,0,2,9,18,7,10,8,18,7,0,49.0,1,0,0,525,482,92.0,0.86,0
26,Atletico Madrid-Athletic Club,Athletic Club,1-0,0,3,6,15,6,11,4,8,2,0,49.0,3,0,3,480,401,84.0,1.12,0
26,Atletico Madrid-Athletic Club,Atletico Madrid,1-0,1,4,5,12,3,10,2,7,6,4,51.0,2,0,3,487,406,83.0,2.25,0
27,Getafe-Atletico Madrid,Atletico Madrid,2-1,1,2,0,4,2,4,0,14,4,4,61.0,2,1,1,511,431,84.0,0.97,0
27,Getafe-Atletico Madrid,Getafe,2-1,2,3,4,11,4,7,4,10,4,2,39.0,6,0,1,315,235,75.0,1.19,0
28,Atletico Madrid-Barcelona,Atletico Madrid,2-4,2,2,4,7,1,4,3,10,6,2,34.0,1,0,2,320,244,76.0,1.36,0
28,Atletico Madrid-Barcelona,Barcelona,2-4,4,6,6,13,1,7,6,11,6,0,66.0,3,0,0,639,575,90.0,1.26,0
29,Espanyol-Atletico Madrid,Atletico Madrid,1-1,1,2,5,13,6,6,7,14,3,5,61.0,1,0,0,626,545,87.0,0.64,0
29,Espanyol-Atletico Madrid,Espanyol,1-1,1,1,4,8,3,4,4,12,4,0,39.0,2,0,1,398,327,82.0,0.94,0
30,Sevilla-Atletico Madrid,Atletico Madrid,1-2,2,5,3,13,5,9,4,12,7,0,56.0,4,0,4,540,474,88.0,1.26,0
30,Sevilla-Atletico Madrid,Sevilla,1-2,1,6,5,11,0,7,4,14,7,0,44.0,1,0,3,429,361,84.0,0.73,0
