id,eventType,teamId,playerId,playerName,x,y,min,minAdded,isBlocked,isOnTarget,blockedX,blockedY,goalCrossedY,goalCrossedZ,expectedGoals,expectedGoalsOnTarget,shotType,situation,period,isOwnGoal,onGoalShot,isSavedOffLine,isFromInsideBox,keeperId,firstName,lastName,fullName,teamColor,shortName,matchId,teamName,oppositeTeam
2773955325,Miss,9906,1082941,Samuel Dias Lino,85.4941176464,29.715714284,14,,False,False,,,40.30142857199999,0.1797894728,0.05954848974943161,0.0,RightFoot,RegularPlay,FirstHalf,False,"{'x': -2.220446049250313e-16, 'y': 0.028531541815594544, 'zoomRatio': 0.5998639763681837}",False,False,,Samuel Dias,Lino,Samuel Dias Lino,#C63527,,4506819,Atletico,Real Madrid
2773957965,Miss,8633,895362,Rodrygo,79.66941747679999,50.306496813500004,18,,False,False,,,33.5425,4.0980689704,0.009883751161396503,0.0,RightFoot,RegularPlay,FirstHalf,False,"{'x': 1.0756066508590336, 'y': 0.6772486772486772, 'zoomRatio': 0.6246844595566009}",False,False,,,Rodrygo,Rodrygo,#085098,,4506819,Real Madrid,Atletico
2773959777,Miss,8633,846033,Vinicius Junior,83.6111650488,30.316,20,,False,False,,,28.370952380000002,0.0898947364,0.0669025406241417,0.0,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 2, 'y': 0.0159697949757263, 'zoomRatio': 0.6715167920359508}",False,False,,Vinicius,Junior,Vinicius Junior,#085098,Vinicius,4506819,Real Madrid,Atletico
2773963497,AttemptSaved,8633,743533,Federico Valverde,78.5432038848,29.883809522,26,,True,True,82.2597087384,30.291999999999998,34.99125,1.2199999940000001,0.012141718529164791,0.0,RightFoot,FromCorner,FirstHalf,False,"{'x': 0.73776455026455, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,False,,Federico,Valverde,Federico Valverde,#085098,,4506819,Real Madrid,Atletico
2773964951,Miss,8633,531629,Daniel Ceballos,78.2053398072,32.6275,28,,False,False,,,21.1966879015,0.0898947364,0.02783670648932457,0.0,RightFoot,RegularPlay,FirstHalf,False,"{'x': 2, 'y': 0.00702120948926425, 'zoomRatio': 0.2952361053857973}",False,False,,Daniel,Ceballos,Daniel Ceballos,#085098,,4506819,Real Madrid,Atletico
2773970327,Goal,9906,974753,Julian Alvarez,94.0,34.0,35,,False,True,,,33.695,0.8925263114,0.7884,0.8015618920326233,RightFoot,Penalty,FirstHalf,False,"{'x': 1.0806878306878307, 'y': 0.2361180717989418, 'zoomRatio': 1}",False,True,170323.0,Julián,Álvarez,Julián Álvarez,#C63527,,4506819,Atletico,Real Madrid
2773974593,AttemptSaved,9906,974753,Julian Alvarez,96.1228070165,39.713095239,40,,True,True,96.9912280694,39.292857143999996,34.838750000000005,0.8925263114,0.16672836244106293,0.0,RightFoot,RegularPlay,FirstHalf,False,"{'x': 0.7781084656084645, 'y': 0.2361180717989418, 'zoomRatio': 1}",False,True,,Julián,Álvarez,Julián Álvarez,#C63527,,4506819,Atletico,Real Madrid
2773975327,AttemptSaved,8633,1077894,Jude Bellingham,82.4849514568,22.037452233099998,41,,True,True,94.0,27.950714285,35.75375,0.802631575,0.021193277090787888,0.0,RightFoot,RegularPlay,FirstHalf,False,"{'x': 0.5360449735449745, 'y': 0.2123363955026455, 'zoomRatio': 1}",False,False,,Jude,Bellingham,Jude Bellingham,#085098,,4506819,Real Madrid,Atletico
2773975951,AttemptSaved,9906,1082941,Samuel Dias Lino,97.95614035039999,47.5740127358,42,,True,True,98.7280701752,46.1727388498,34.61,0.9824210478000001,0.039230890572071075,0.0,LeftFoot,FastBreak,FirstHalf,False,"{'x': 0.8386243386243388, 'y': 0.2598997480952381, 'zoomRatio': 1}",False,True,,Samuel Dias,Lino,Samuel Dias Lino,#C63527,,4506819,Atletico,Real Madrid
2773977405,Miss,9906,695062,Javi Galan,94.0,48.9752866218,44,,False,False,,,31.1025,4.4630344888,0.03262462466955185,0.0,RightFoot,RegularPlay,FirstHalf,False,"{'x': 1.4396847138986963, 'y': 0.6772486772486772, 'zoomRatio': 0.5736007656728462}",False,True,,Javi,Galán,Javi Galán,#C63527,,4506819,Atletico,Real Madrid
2773978333,Miss,8633,846033,Vinicius Junior,89.9,37.27875,45,0.0,False,False,91.8,34.305,21.547006373000002,0.3595789456,0.055157363414764404,0.0,RightFoot,RegularPlay,FirstHalf,False,"{'x': 2, 'y': 0.02887489999355478, 'zoomRatio': 0.303541470687368}",False,True,,Vinicius,Junior,Vinicius Junior,#085098,Vinicius,4506819,Real Madrid,Atletico
2773981531,AttemptSaved,8633,743533,Federico Valverde,76.6286407784,35.60125,45,5.0,True,True,90.9,35.525000000000006,35.0675,0.8925263114,0.03206736594438553,0.0,RightFoot,FreeKick,FirstHalf,False,"{'x': 0.7175925925925919, 'y': 0.2361180717989418, 'zoomRatio': 1}",False,False,,Federico,Valverde,Federico Valverde,#085098,,4506819,Real Madrid,Atletico
2773992601,AttemptSaved,8633,1077894,Jude Bellingham,99.1140350876,30.304,50,,True,True,102.72413793119999,33.31375,35.3725,1.2199999940000001,0.29945963621139526,0.0,RightFoot,RegularPlay,SecondHalf,False,"{'x': 0.6369047619047613, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,True,,Jude,Bellingham,Jude Bellingham,#085098,,4506819,Real Madrid,Atletico
2773992617,Goal,8633,701154,Kylian Mbappe,95.9298245603,30.72125,50,,False,True,,,36.05875,1.1365263102,0.25150835514068604,0.6976197361946106,RightFoot,RegularPlay,SecondHalf,False,"{'x': 0.455357142857142, 'y': 0.30066833603174603, 'zoomRatio': 1}",False,True,177126.0,Kylian,Mbappé,Kylian Mbappé,#085098,,4506819,Real Madrid,Atletico
2773993873,Post,8633,1077894,Jude Bellingham,100.44827586240001,37.50750000000001,52,,False,False,,,35.143750000000004,2.458,0.2040538489818573,0.0,Header,RegularPlay,SecondHalf,False,"{'x': 0.6974206349206338, 'y': 0.6502645502645503, 'zoomRatio': 1}",False,True,,Jude,Bellingham,Jude Bellingham,#085098,,4506819,Real Madrid,Atletico
2773993879,AttemptSaved,8633,359193,Lucas Vazquez,94.0,29.211428570000002,52,,True,True,95.54385964789999,29.967857141,33.5425,1.2199999940000001,0.06308002024888992,0.0,LeftFoot,RegularPlay,SecondHalf,False,"{'x': 1.121031746031747, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,True,,Lucas,Vázquez,Lucas Vázquez,#085098,,4506819,Real Madrid,Atletico
2773996145,Miss,9906,184138,Antoine Griezmann,83.160679612,41.483437499999994,55,,False,False,,,38.620476192,7.4783448432,0.013354871422052383,0.0,LeftFoot,FromCorner,SecondHalf,False,"{'x': 0.5815636407651927, 'y': 0.6772486772486772, 'zoomRatio': 0.3423217374534136}",False,False,,Antoine,Griezmann,Antoine Griezmann,#C63527,,4506819,Atletico,Real Madrid
2773997671,AttemptSaved,8633,1077894,Jude Bellingham,98.3421052628,35.29625000000001,57,,False,True,103.6724137932,35.3725,33.5425,1.4254736772,0.10909425467252731,0.2555416524410248,Header,FromCorner,SecondHalf,False,"{'x': 1.121031746031747, 'y': 0.3771094384126984, 'zoomRatio': 1}",False,True,177126.0,Jude,Bellingham,Jude Bellingham,#085098,,4506819,Real Madrid,Atletico
2773999485,Miss,9906,1226147,Giuliano Simeone,97.0877192975,22.387770704599998,60,,False,False,104.71551724140001,28.454999999,28.959285713000003,0.2696842092,0.13980619609355927,0.0,RightFoot,RegularPlay,SecondHalf,False,"{'x': 2, 'y': 0.05350118928492248, 'zoomRatio': 0.7498937223537185}",False,True,,Giuliano,Simeone,Giuliano Simeone,#C63527,,4506819,Atletico,Real Madrid
