nombre_completo;short_name;dorsal;id_unico;posicion;pais;fecha_nacimiento;url_fbref;id_whoscored;url_whoscored;id_fotmob;url_fotmob;id_understat;id_transfermarkt;url_transfermarkt;ruta_foto
Juan Musso;Musso;1;ATM_1;GK;Argentina;06/05/1994;https://fbref.com/es/jugadores/a111cf41/Juan-Musso;126278;https://es.whoscored.com/players/126278/show/juan-musso;389050;https://www.fotmob.com/es/players/389050/juan-musso;7095;242359;https://www.transfermarkt.es/juan-musso/profil/spieler/242359;assets/players/1.png'
Jose María Giménez;Giménez;2;ATM_2;DF;Uruguay;20/01/1995;https://fbref.com/es/jugadores/f0da930c/Jose-Maria-Gimenez;135914;https://es.whoscored.com/players/135914/show/jos%C3%A9-mar%C3%ADa-gim%C3%A9nez;474589;https://www.fotmob.com/es/players/474589/jose-gimenez;2278;250845;https://www.transfermarkt.es/jose-maria-gimenez/profil/spieler/250845;assets/players/2.png'
César Azpilicueta;Azpilcueta;3;ATM_3;DF;España;28/08/1989;https://fbref.com/es/jugadores/53cad200/Cesar-Azpilicueta;25931;https://es.whoscored.com/players/25931/show/c%C3%A9sar-azpilicueta;72541;https://www.fotmob.com/es/players/72541/cesar-azpilicueta;681;57500;https://www.transfermarkt.es/cesar-azpilicueta/profil/spieler/57500;assets/players/3.png'
Conor Gallagher;Gallagher;4;ATM_4;MF;Inglaterra;06/02/2000;https://fbref.com/es/jugadores/c2731c10/Conor-Gallagher;375621;https://es.whoscored.com/players/375621/show/conor-gallagher;966027;https://www.fotmob.com/es/players/966027/conor-gallagher;9040;488362;https://www.transfermarkt.es/conor-gallagher/profil/spieler/488362;assets/players/4.png'
Rodrigo De Paul;De Paul;5;ATM_5;MF;Argentina;24/05/1994;https://fbref.com/es/jugadores/162efffd/Rodrigo-De-Paul;125547;https://es.whoscored.com/players/125547/show/rodrigo-de-paul;324578;https://www.fotmob.com/es/players/324578/rodrigo-de-paul;1145;255901;https://www.transfermarkt.es/rodrigo-de-paul/profil/spieler/255901;assets/players/5.png'
Jorge Resurrección;Koke;6;ATM_6;MF;España;08/01/1992;https://fbref.com/es/jugadores/55126f3b/Koke;80764;https://es.whoscored.com/players/80764/show/koke;184533;https://www.fotmob.com/es/players/184533/koke;2269;74229;https://www.transfermarkt.es/koke/profil/spieler/74229;assets/players/6.png'
Antoine Griezmann;Griezmann;7;ATM_7;FW;Francia;21/03/1991;https://fbref.com/es/jugadores/df69b544/Antoine-Griezmann;80241;https://es.whoscored.com/players/80241/show/antoine-griezmann;184138;https://www.fotmob.com/es/players/184138/antoine-griezmann;2270;125781;https://www.transfermarkt.es/antoine-griezmann/profil/spieler/125781;assets/players/7.png'
Pablo Barrios;Barrios;8;ATM_8;MF;España;15/06/2003;https://fbref.com/es/jugadores/45736cec/Pablo-Barrios;434138;https://es.whoscored.com/players/434138/show/pablo-barrios;1338192;https://www.fotmob.com/es/players/1338192/pablo-barrios;10494;775605;https://www.transfermarkt.es/pablo-barrios/profil/spieler/775605;assets/players/8.png'
Alexander Sorloth;Sorloth;9;ATM_9;FW;Noruega;05/12/1995;https://fbref.com/es/jugadores/e92cd3f7/Alexander-Sorloth;302497;https://es.whoscored.com/players/302497/show/alexander-s%C3%B8rloth;440330;https://www.fotmob.com/es/players/440330/alexander-sorloth;6531;238407;https://www.transfermarkt.es/alexander-sorloth/profil/spieler/238407;assets/players/9.png'
Ángel Correa;Correa;10;ATM_10;FW;Argentina;09/03/1995;https://fbref.com/es/jugadores/01eb744d/Angel-Correa;127604;https://es.whoscored.com/players/127604/show/%C3%A1ngel-correa;432950;https://www.fotmob.com/es/players/432950/angel-correa;2275;266807;https://www.transfermarkt.es/angel-correa/profil/spieler/266807;assets/players/10.png'
Thomas Lemar;Lemar;11;ATM_11;MF;Francia;12/11/1995;https://fbref.com/es/jugadores/4dbd0916/Thomas-Lemar;132962;https://es.whoscored.com/players/132962/show/thomas-lemar;468931;https://www.fotmob.com/es/players/468931/thomas-lemar;3425;205562;https://www.transfermarkt.es/thomas-lemar/profil/spieler/205562;assets/players/11.png'
